name,new_price,old_price,discount,status,photo_link,link,positive_feedback
"Ноутбук Lenovo IdeaPad G565 - 15,6"" - 2 Ядра - Ram 2Gb - HDD 250Gb - Ідеал !",3119.52,6499.0,52.0,В наявності,https://images.prom.ua/3124163633_w200_h200_noutbuk-lenovo-ideapad.jpg,https://prom.ua/p1416603596-noutbuk-lenovo-ideapad.html,98
"Ноутбук ASUS X61s - 16,1"" - 2 Ядра - Ram 2Gb - HDD 320Gb - Ідеал !",3299.45,5999.0,45.0,Закінчується,https://images.prom.ua/3523011095_w200_h200_noutbuk-asus-x61s.jpg,https://prom.ua/p1538235552-noutbuk-asus-x61s.html,98
"Игровой Ноутбук Packard Bell EasyNote LS11 - 17,3"" - Core i5 - 4Gb/500Gb - Идеал !",8259.41,13999.0,41.0,Закінчується,https://images.prom.ua/3806825746_w200_h200_igrovoj-noutbuk-packard.jpg,https://prom.ua/p1321447015-igrovoj-noutbuk-packard.html,98
"Ноутбук Samsung R503 - 15,4"" - 2 Ядра - Ram 2Gb - HDD 160Gb - Ідеал !",3099.38,4999.0,38.0,Закінчується,https://images.prom.ua/3590502439_w200_h200_noutbuk-samsung-r503.jpg,https://prom.ua/p1309992991-noutbuk-samsung-r503.html,98
Toshiba Tecra A9 2 ядра Intel C2D (2.20 Ггц)/4 ГБ/500 ГБ/1680x1050/Nvidia Quadro NVS 130M/АКБ 1 год,3292.0,4692.0,29.8,В наявності,https://images.prom.ua/3811308241_w200_h200_toshiba-tecra-a9.jpg,https://prom.ua/p1625910779-toshiba-tecra-yadra.html,95
Toshiba Tecra A9 2 ядра Intel C2D (2.20 Ггц)/4 ГБ/500 ГБ/1680x1050/Nvidia Quadro NVS 130M/АКБ 1 год,2955.0,3855.0,23.3,В наявності,https://images.prom.ua/3109598802_w200_h200_toshiba-tecra-a9.jpg,https://prom.ua/p1412277237-toshiba-tecra-yadra.html,95
"Ноутбук Packard Bell P4LS0 Intel Core I3-2328M 6 GB RAM 320 GB HDD NVIDIA GeForce GT 540M [14""] - ноутбук Б/В",6800.0,8500.0,20.0,В наявності,https://images.prom.ua/3769048010_w200_h200_noutbuk-packard-bell.jpg,https://prom.ua/p1613031183-noutbuk-packard-bell.html,97
"Ноутбук Polaroid Notebook MPC2144PJE01.126-Intel Atom x5-Z8350-1,44GHz-4Gb-DDR3-32Gb-SSD-W14-Web-(B)- Б/В",4016.0,5020.0,20.0,В наявності,https://images.prom.ua/2975011076_w200_h200_noutbuk-polaroid-notebook.jpg,https://prom.ua/p1370253468-noutbuk-polaroid-notebook.html,88
"Ноутбук HP PAvilion dv6500 AMD Trion 64 X2 3Gb RAM 250Gb HDD Nvidia GeForce 7150M 15.4"" - ноутбук Б/В",3234.0,3850.0,16.0,В наявності,https://images.prom.ua/3781181641_w200_h200_noutbuk-hp-pavilion.jpg,https://prom.ua/p1616938762-noutbuk-pavilion-dv6500.html,97
"Ноутбук Acer Aspire 7551 AMD Athlon II P340 4Gb HDD 320Gb AMD Radeon HD 6400M 512Mb 17.3"" - Б/В",4350.0,5000.0,13.0,В наявності,https://images.prom.ua/3803269145_w200_h200_noutbuk-acer-aspire.jpg,https://prom.ua/p1623629095-noutbuk-acer-aspire.html,97
Б/В Ноутбук Lenovo L340-15IRH 15.6 FHD Intel i5-9300H 8 RAM 512 SSD NVIDIA GTX 1050 3 ГБ,20312.0,22568.89,10.0,В наявності,https://images.prom.ua/3623744484_w200_h200_bu-noutbuk-lenovo.jpg,https://prom.ua/p1568781849-noutbuk-lenovo-l340.html,100
БУ Ноутбук Samsung R730 17.3 P6200 4 RAM 320 HDD NVIDIA GT 310M 1 ГБ,4726.0,5251.11,10.0,В наявності,https://images.prom.ua/3699445529_w200_h200_bu-noutbuk-samsung.jpg,https://prom.ua/p1592012101-noutbuk-samsung-r730.html,100
БУ Ноутбук Lenovo Ideapad Y580 15.6 Intel i7-3630QM 8 RAM 750 HDD NVIDIA GTX 660M 2 ГБ,12790.0,14211.11,10.0,В наявності,https://images.prom.ua/3769180484_w200_h200_bu-noutbuk-lenovo.jpg,https://prom.ua/p1613063116-noutbuk-lenovo-ideapad.html,100
БУ Ноутбук Asus U30S 13.3 Intel i5-2430M 8 RAM 500 HDD NVIDIA 520M 1 ГБ,6350.0,7055.56,10.0,В наявності,https://images.prom.ua/3786832139_w200_h200_bu-noutbuk-asus.jpg,https://prom.ua/p1618638353-noutbuk-asus-u30s.html,100
"БУ Ноутбук HP ZBook 15 15,6 FHD IPS i7-4700MQ 16 RAM 500 HDD NVIDIA Quadro K1100M 2 ГБ",14960.0,16622.22,10.0,В наявності,https://images.prom.ua/3787416188_w200_h200_bu-noutbuk-hp.jpg,https://prom.ua/p1618784938-noutbuk-zbook-156.html,100
"БУ Ноутбук HP 8570w 15,6 HD+ i5-3360M 8 RAM 500 HDD NVIDIA Quadro K1000M 2 ГБ",9200.0,10222.22,10.0,В наявності,https://images.prom.ua/3787437819_w200_h200_bu-noutbuk-hp.jpg,https://prom.ua/p1618786854-noutbuk-8570w-156.html,100
БУ Ноутбук Acer Aspire V5-591G-54PX 15.6 Intel i5-6300HQ 16 RAM 1000 HDD NVIDIA GTX 950M 4 ГБ,19499.0,21665.56,10.0,В наявності,https://images.prom.ua/3792459397_w200_h200_bu-noutbuk-acer.jpg,https://prom.ua/p1620289185-noutbuk-acer-aspire.html,100
БУ Ноутбук Lenovo IdeaPad 310-15ISK 15.6 Intel i3-6006U 8 RAM 500 HDD NVIDIA GT 920MX 2 ГБ,11850.0,13166.67,10.0,В наявності,https://images.prom.ua/3792459399_w200_h200_bu-noutbuk-lenovo.jpg,https://prom.ua/p1620289186-noutbuk-lenovo-ideapad.html,100
БУ Ноутбук Dell Inspiron 17 5000 17.3 Intel i7-7500U 16 RAM 256 SSD AMD RADEON R7 445 4 ГБ,16999.0,18887.78,10.0,В наявності,https://images.prom.ua/3794351058_w200_h200_bu-noutbuk-dell.jpg,https://prom.ua/p1620851589-noutbuk-dell-inspiron.html,100
БУ Ноутбук Dell Precision 7510 15.6 FHD Intel i7-6820HQ 8 RAM 256 SSD NVIDIA QUADRO M1000M 4 ГБ,18999.0,21110.0,10.0,В наявності,https://images.prom.ua/3794351079_w200_h200_bu-noutbuk-dell.jpg,https://prom.ua/p1620851594-noutbuk-dell-precision.html,100
БУ Ноутбук Asus X555lDB 15.6 Intel i5-5200U 8 RAM 500 HDD NVIDIA GT 820M 2 ГБ,10999.0,12221.11,10.0,В наявності,https://images.prom.ua/3798440390_w200_h200_bu-noutbuk-asus.jpg,https://prom.ua/p1622163400-noutbuk-asus-x555ldb.html,100
БУ Ноутбук Acer V5-571G 15.6 Intel i5-3317U 8 RAM 500 HDD NVIDIA GT 620M 1 ГБ,7650.0,8500.0,10.0,В наявності,https://images.prom.ua/3798440405_w200_h200_bu-noutbuk-acer.jpg,https://prom.ua/p1622163402-noutbuk-acer-571g.html,100
БУ Ноутбук Lenovo Ideapad S145-15IWL 15.6 Intel i3-8145U 8 RAM 256 SSD NVIDIA MX110 2 ГБ,13999.0,15554.44,10.0,В наявності,https://images.prom.ua/3798601151_w200_h200_bu-noutbuk-lenovo.jpg,https://prom.ua/p1622214938-noutbuk-lenovo-ideapad.html,100
"Ноутбук Lenovo ThinkPad T530-Intel Core-i5-3210M-2,50GHz-4Gb-DDR3-500Gb-HDD-DVD-RW15.6-Web-NVIDIA NVS 5400M(2Gb)-(C)- Б/В",6109.0,6430.0,5.0,Закінчується,https://images.prom.ua/2548209037_w200_h200_noutbuk-lenovo-thinkpad.jpg,https://prom.ua/p1237433625-noutbuk-lenovo-thinkpad.html,88
